"date","time","size","version","os","country","ip_id"
"2020-04-26","18:03:03",81774920,"3.6.3","osx","US",4
"2020-04-26","18:03:20",81774920,"3.6.3","osx","US",4
"2020-04-26","18:03:16",88140373,"4.0.0","osx","JP",180
"2020-04-26","18:03:16",87661081,"4.0.0","win","ZA",181
"2020-04-26","18:03:39",87659754,"4.0.0patched","win","US",24
"2020-04-26","01:43:47",87564166,"4.0.0","win","PE",182
"2020-04-26","01:44:14",87564166,"4.0.0","win","CN",183
"2020-04-26","01:44:11",78114110,"3.5.3","osx","US",2
"2020-04-26","01:44:31",88043434,"latest","osx","US",2
"2020-04-26","01:44:42",87660481,"4.0.0","win",NA,5
"2020-04-26","01:45:05",984502,"4.0.0","win",NA,5
"2020-04-26","01:45:30",87667113,"4.0.0patched","win","US",18
"2020-04-26","01:45:33",81774917,"3.6.3","osx","US",4
"2020-04-26","01:45:45",87662910,"4.0.0","win","CO",184
"2020-04-26","01:45:52",87661436,"4.0.0","win","IN",185
"2020-04-26","01:45:54",87564167,"4.0.0","win","CA",186
"2020-04-26","01:46:13",87660323,"4.0.0","win",NA,5
"2020-04-26","01:46:43",87564163,"4.0.0","win","US",187
"2020-04-26","01:46:33",87667568,"4.0.0","win","US",188
"2020-04-26","01:47:10",1322760,"3.6.0","win","CN",189
"2020-04-26","01:47:46",81774920,"3.6.3","osx","US",4
"2020-04-26","01:47:49",88140961,"4.0.0","osx","US",190
"2020-04-26","01:47:55",87660396,"4.0.0","win","JP",191
"2020-04-26","01:48:12",87669171,"4.0.0","win","TR",192
"2020-04-26","01:48:36",87661390,"4.0.0","win","PE",193
"2020-04-26","05:18:34",88141220,"4.0.0","osx","CH",194
"2020-04-26","05:18:46",87564166,"4.0.0","win","HK",195
"2020-04-26","05:18:37",87662623,"4.0.0","win","JP",196
"2020-04-26","05:18:44",81774925,"3.6.3","osx","US",4
"2020-04-26","05:19:00",87564157,"4.0.0","win",NA,5
"2020-04-26","05:19:00",87564165,"4.0.0","win","CN",197
"2020-04-26","05:19:26",78114105,"3.5.3","osx","US",4
"2020-04-26","05:19:22",81774920,"3.6.3","osx","US",4
"2020-04-26","05:19:22",82819526,"3.5.3","win","US",198
"2020-04-26","05:19:31",82819528,"3.5.3","win","US",199
"2020-04-26","05:19:38",81774920,"3.6.3","osx","US",4
"2020-04-26","05:19:34",78114098,"3.5.3","osx","US",4
"2020-04-26","05:20:05",87660875,"4.0.0","win",NA,5
"2020-04-26","05:20:16",2619488,"4.0.0","osx",NA,5
"2020-04-26","05:20:29",87564158,"4.0.0","win","US",200
"2020-04-26","05:20:26",87670877,"4.0.0patched","win","US",201
"2020-04-26","05:20:33",88043428,"4.0.0","osx","US",4
"2020-04-26","05:20:33",86537603,"3.6.3","win","US",130
"2020-04-26","05:20:37",81774920,"3.6.3","osx","US",4
"2020-04-26","05:20:48",81774920,"3.6.3","osx","US",4
"2020-04-26","05:20:43",30200650,"3.4.1","src","US",202
"2020-04-26","05:20:51",74889294,"3.3.3","osx","US",2
"2020-04-26","05:21:07",81774925,"3.6.3","osx","US",4
"2020-04-26","05:21:27",33023438,"4.0.0","win","CN",203
"2020-04-26","05:21:37",87564166,"4.0.0","win",NA,5
"2020-04-26","05:21:38",88143487,"latest","osx","US",2
"2020-04-26","05:21:57",88141203,"latest","osx","US",2
"2020-04-26","05:22:05",88139998,"latest","osx","US",2
"2020-04-26","05:22:24",81148699,"3.6.3.nn","osx",NA,5
"2020-04-26","05:22:35",77266252,"3.4.4","osx","US",2
"2020-04-26","05:22:41",87564157,"4.0.0","win","CN",204
"2020-04-26","05:22:48",87564151,"4.0.0","win","US",205
"2020-04-26","05:22:52",88043418,"4.0.0","osx","US",4
"2020-04-26","05:22:51",81774920,"3.6.3","osx","US",4
"2020-04-26","05:22:59",87564151,"4.0.0","win","US",206
"2020-04-26","05:22:56",87660202,"4.0.0","win","JP",207
"2020-04-26","05:23:02",81774920,"3.6.3","osx","US",4
"2020-04-26","05:23:02",87660486,"4.0.0","win","US",208
"2020-04-26","05:23:24",81774925,"3.6.3","osx","US",4
"2020-04-26","05:23:25",78114110,"3.5.3","osx","US",2
"2020-04-26","05:23:34",2915103,"4.0.0","win","ID",209
"2020-04-26","05:23:25",87664377,"4.0.0","win","US",210
"2020-04-26","07:00:01",87699704,"devel","win","US",24
"2020-04-26","07:00:09",87666425,"4.0.0","win","CN",211
"2020-04-26","07:00:26",14674,"4.0.0","win","SE",212
"2020-04-26","07:00:28",87661459,"4.0.0","win",NA,5
"2020-04-26","07:00:29",430724,"4.0.0","osx","CH",213
"2020-04-26","07:00:26",537,"4.0.0","win","SE",212
"2020-04-26","07:00:49",88170518,"4.0.0","osx",NA,5
"2020-04-26","07:01:10",14521,"4.0.0","osx","CH",213
"2020-04-26","07:01:14",81774920,"3.6.3","osx","US",4
"2020-04-26","07:01:07",81774925,"3.6.3","osx","US",4
"2020-04-26","07:01:10",87660451,"4.0.0","win","ID",214
"2020-04-26","07:01:16",50090701,"3.6.3.nn","osx","CH",215
"2020-04-26","07:01:22",81774920,"3.6.3","osx","US",4
"2020-04-26","07:01:36",87663925,"4.0.0","win","US",216
"2020-04-26","07:01:32",87660256,"4.0.0","win","IN",217
"2020-04-26","07:01:48",1082112,"4.0.0","win","HK",218
"2020-04-26","07:01:58",74889293,"3.3.3","osx","US",2
"2020-04-26","07:02:02",87670573,"4.0.0patched","win","US",18
"2020-04-26","07:01:51",59908232,"4.0.0","win","JP",219
"2020-04-26","07:01:57",81774920,"3.6.3","osx","US",4
"2020-04-26","07:02:07",81774920,"3.6.3","osx","US",35
"2020-04-26","07:02:05",81774920,"3.6.3","osx","US",35
"2020-04-26","07:02:02",87663975,"4.0.0patched","win","US",18
"2020-04-26","07:02:09",1058193,"4.0.0","osx","CH",213
"2020-04-26","07:02:03",25208889,"4.0.0","win","JP",219
"2020-04-26","07:02:10",81774920,"3.6.3","osx","US",4
"2020-04-26","07:02:20",47294267,"4.0.0","win","JP",219
"2020-04-26","07:02:15",87564166,"4.0.0","win","CN",220
"2020-04-26","07:02:40",87660598,"4.0.0","win","HK",221
"2020-04-26","07:02:37",87660379,"4.0.0","win","IN",222
"2020-04-26","07:02:59",81774920,"3.6.3","osx","US",4
"2020-04-26","07:03:02",81774920,"3.6.3","osx","US",4
"2020-04-26","07:03:03",87660210,"4.0.0","win","IN",223
"2020-04-26","07:03:11",291536,"4.0.0","osx","CH",213
"2020-04-26","07:03:25",87684656,"4.0.0","win","US",224
"2020-04-26","23:48:51",88140851,"4.0.0","osx",NA,5
"2020-04-26","23:49:05",87564163,"4.0.0","win",NA,5
"2020-04-26","23:49:12",87663280,"4.0.0","win","US",225
"2020-04-26","23:48:59",81774921,"3.6.3","osx","US",4
"2020-04-26","23:49:15",87660504,"4.0.0","win","US",226
"2020-04-26","23:49:42",87663862,"4.0.0","win","US",227
